# source_url: https://irn.justica.gov.pt/Portals/33/Regras%20Nome%20Proprio/Lista%20Nomes%20Pr%C3%B3prios.pdf?ver=WNDmmwiSO3uacofjmNoxEQ%3D%3D
# license: official IRN publication; no explicit open-data license found
# pdf_pages: 88
# parsed_pages_with_names: 88
# parse_coverage_pct: 100.0%
name,gender
BRAYANE,M
BRAYN,M
BRAYNE,M
BREANNE,F
BREARNA,F
BRENDA,F
BRENO,M
BRIAN,M
BRIANA,F
BRIANNA,F
BRIGHITTE,F
BRIGIDA,F
BRIGITE,F
BRITNEY,F
BRIZA,F
BRONOEALFATE,F
BROOKLYN,F
BRUCE,M
BRUNA,F
BRUNO,M
BRYAN,F
BRYANA,F
BRYANNA,F
BRYANNE,M
BRYANT,M
BUBACAR,M
BUIA,F
BYANCA,F
CADEMO,M
CADI,F
CADIATOU,F
CADIDJATO,F
CADIDJATU,F
CADIJA,F
CADIJATO,F
CADIJATU,F
CADIO,M
CAEDEN,M
CAEDYN,M
CAEL,M
CAELAN,M
CAETANA,F
CAETANO,M
CAIA,F
CAICO,M
CAIEL,M
CAILAN,M
CAIO,M
CAIQUE,M
CAIRO,M
CAIRON,M
CAITLIN,F
CALEB,M
CALEBE,M
CALI,F
CALIE,F
CALIXTO,M
CALLI,F
CALLISTA,F
CALVIN,M
CAMELIA,F
CAMERON,M
CAMIL,M
CAMILA,F
CAMILIA,F
CAMILLA,F
CAMILLE,F
CAMILO,M
CAMTAI,M
CANDICE,F
CANDIDA,F
CANDIDO,M
CANDY,F
CANFA,M
CAOILINN,F
CAPRIANO,M
CAPUCINE,F
CAREN,F
CARINA,F
CARINE,F
CARISA,F
CARLA,F
CARLENE,F
CARLIN,M
CARLIZE,F
CARLO,M
CARLOS,F
CARLOSJONSE,M
CARLOTA,F
CARLOTTA,F
CARMEL,F
CARMEN,F
CARMIM,M
CARMINA,F
CARMINDA,F
CARMINHO,F
CARMO,F
CAROL,F
CAROLE,F
CAROLINA,F
CAROLINE,F
CAS,M
CASEY,F
CASIMIRA,F
CASIMIRO,M
CASSANDRA,F
CASSIA,F
CASSIANO,M
CASSILDA,F
CASSIO,M
CASTIEL,M
CATALEIA,F
CATALEYA,F
CATALIN,M
CATALINA,F
CATALYNA,F
CATARINA,F
CATERINA,F
CATHALEYA,F
CATHARINA,F
CATHERINE,F
CATHRIONNA,F
CATIA,F
CATILA,F
CATILIANA,F
CATRINA,F
CATTLEYA,F
CATYLEIA,F
CATYLIANA,F
CAUA,M
CAUAREN,F
CAYARI,F
CAYDEN,M
CAYETANA,F
CAYLAINY,F
CAYLEB,M
CAYO,M
CECILE,F
CECILIA,F
CECYLIA,F
CEDRIC,M
CEDRICK,M
CEDRIK,M
CELESTE,F
CELESTINO,M
CELIA,F
CELINA,F
CELINE,F
CELINO,M
CELIO,M
CELLEN,F
CELMIRA,F
CELON,M
CELSIO,M
CELSO,M
CELTIANE,F
CERASELA,F
CEREJA,F
CESALTINA,F
CESAR,M
CESARIO,M
CESARO,M
CEU,F
CEUMIR,M
CEZAR,M
CHADI,M
CHAN,M
CHANDA,F
CHANEL,F
CHANELL,F
CHANTAL,F
CHANTEL,F
CHANTELL,F
CHARBEL,M
CHARLENE,F
CHARLES,M
CHARLIE,F
CHARLIZE,F
CHARLOTTE,F
CHAYSON,M
CHAZ,M
CHEIHOUBA,M
CHEIKH,M
CHEIKHOU,M
CHEILA,F
CHEILLY,F
CHELSEA,F
CHELSY,F
CHEN,F
CHENG,F
CHENGMAN,M
CHEOK,F
CHERIF,M
CHERNO,M
CHESLSY,F
CHESTER,M
CHEVELLE,F
CHI,F
CHIAGOZIEM,M
CHIARA,F
CHICO,M
CHIMALAVERA,F
CHIN,F
CHISOM,F
CHIZARA,M
CHLOE,F
CHON,M
CHRESHTA,F
CHRIS,M
CHRISANGELLA,F
CHRISHMIEL,M
CHRISLAND,M
CHRIST,M
CHRISTA,F
CHRISTIAAN,M
CHRISTIAN,M
CHRISTIANE,F
CHRISTIANNA,F
CHRISTIANNE,F
CHRISTIANO,M
CHRISTIANY,F
CHRISTINA,F
CHRISTINE,F
CHRISTOPHE,M
CHRISTOPHER,M
CHRISTYAN,M
CHRYSTIAN,M
CIANA,F
CIARA,F
CIBELE,F
CIBELLE,F
CICERO,M
CID,M
CIDALIA,F
CIDALIO,M
CILINE,F
CILIRIO,M
CILIZA,F
CINARA,F
CINDY,F
CINTHIA,F
CINTHYA,F
CINTIA,F
CINTRA,F
CINTYA,F
CIPRIAN,M
CIRILA,F
CIRO,M
CISALDO,M
CITLALI,F
CIZIA,M
CLAIRE,F
CLAN,M
CLARA,F
CLARE,F
CLARICE,F
CLARINA,F
CLARINHA,F
CLARISSA,F
CLARISSE,F
CLAUDEMIRA,F
CLAUDIA,F
CLAUDIANA,F
CLAUDIANO,M
CLAUDINE,F
CLAUDINO,M
CLAUDIO,M
CLAUDISON,M
CLAYTON,M
CLEBER,M
CLEDILSON,M
CLEIA,F
CLEIDE,F
CLEIDIANE,F
CLEIDILSON,M
CLEILIANA,F
CLEITON,M
CLEMENTE,M
CLEMENTINE,F
CLEO,F
CLEONICE,F
CLEOPATRA,F
CLESIO,M
CLEVER,M
CLOE,F
CLOTILDE,F
CODRUTA,F
COLIN,M
CONCEICAO,F
CONCHA,F
CONNOR,M
CONSTANCA,F
CONSTANCE,F
CONSTANCIA,F
CONSTANTIN,M
CONSTANTINA,F
CONSTANTINO,M
CONSTANZA,F
CONTANCA,F
COOPER,M
CORA,F
CORAIMA,F
CORAMAE,F
CORINA,F
CORINE,F
COSMIN,M
CRECIA,F
CREMILDA,F
CRISLEIDY,F
CRISMARA,F
CRISPIM,M
CRISSIA,F
